sale,8
,
crime,10
,
rates,3
,
ski,23
,
18:00,1
,
start,1
,
end,1
,
positions,1
,
rate,11
,
crimes,4
,
robbery,2
,
arson,1
,
burglary,2
,
change,23
,
minute,4
,
time,18
,
fire,19
,
minutes,7
,
incident,2
,
call,1
,
hurricane,9
,
form,2
,
trajectory,1
,
types,5
,
people,7
,
slope,2
,
altitudes,1
,
meters,1
,
temperature,3
,
degrees,1
,
precipitation,2
,
humidity,1
,
network,6
,
distribution,26
,
midwife,1
,
toad,1
,
lanes,1
,
traffic,10
,
jams,1
,
rush,1
,
hours,1
,
population,51
,
density,25
,
disposal,1
,
waste,3
,
geology,1
,
groundwater,1
,
resources,3
,
persons,1
,
kilometer,1
,
less,1
,
maximum,1
,
plumbing,1
,
condition,1
,
water,11
,
treatment,1
,
plant,2
,
way,2
,
recycling,1
,
truck,3
,
points,2
,
emergency,1
,
vehicle,3
,
accident,1
,
pattern,11
,
spending,1
,
majority,1
,
residents,3
,
earth,1
,
quake,2
,
proofing,1
,
specification,1
,
percent,1
,
specifications,1
,
impact,8
,
development,2
,
relationship,9
,
microclimate,1
,
structure,4
,
need,1
,
transport,6
,
capacity,1
,
north,1
,
forestry,2
,
norwegian,1
,
spruce,1
,
trees,3
,
concentrations,1
,
students,2
,
glaciers,1
,
european,1
,
changes,11
,
bears,1
,
there,11
,
customers,6
,
radius,1
,
theme,1
,
effect,6
,
flows,2
,
route,5
,
alternative,1
,
term,3
,
consequences,2
,
farming,1
,
conservation,1
,
stone,1
,
age,6
,
holiday,1
,
wind,5
,
italy,2
,
flow,1
,
patterns,8
,
retailing,2
,
response,1
,
coffee,1
,
use,21
,
routes,2
,
growth,8
,
size,2
,
access,7
,
catchment,2
,
luxury,2
,
bedrooms,1
,
drive,1
,
type,3
,
snowfall,1
,
center,4
,
aspect,1
,
room,1
,
prices,3
,
proximity,2
,
bus,2
,
sets,1
,
avalanche,1
,
danger,1
,
recordings,1
,
snow,3
,
depth,1
,
surface,3
,
content,1
,
strength,2
,
accidents,2
,
visitor,1
,
uses,2
,
activity,11
,
landscape,4
,
damage,1
,
rain,1
,
introduction,1
,
bird,1
,
species,1
,
topography,2
,
casualty,1
,
tsunami,1
,
resolution,1
,
satellite,1
,
imagery,2
,
cameras,1
,
categories,3
,
parties,1
,
branch,1
,
meeting,1
,
employees,2
,
branches,1
,
priority,1
,
calls,6
,
police,5
,
task,1
,
force,1
,
schedule,1
,
meetings,1
,
runs,1
,
alarm,1
,
territory,1
,
virus,1
,
influence,3
,
responses,2
,
trend,3
,
trends,5
,
animal,2
,
migration,1
,
grazing,1
,
tracking,1
,
data,6
,
family,3
,
removal,1
,
aquifer,1
,
mileage,1
,
arsons,1
,
sales,1
,
specialty,1
,
income,3
,
levels,5
,
auto,2
,
construction,3
,
years,1
,
units,5
,
concentration,6
,
groups,4
,
birds,1
,
tractor,1
,
election,1
,
results,1
,
candidates,1
,
portions,1
,
energy,1
,
oil,2
,
gas,1
,
power,1
,
census,5
,
service,3
,
robberies,5
,
dot,2
,
voters,1
,
elms,1
,
myrtles,1
,
oleander,1
,
rainfall,1
,
year,1
,
tornadoes,1
,
clusters,6
,
food,2
,
sources,1
,
pizza,1
,
chain,1
,
output,1
,
well,1
,
clusterings,2
,
household,2
,
frequency,1
,
acreage,1
,
properties,3
,
independence,1
,
day,1
,
parade,1
,
pipes,1
,
storm,1
,
drain,1
,
breakdown,1
,
poll,1
,
workers,1
,
number,4
,
households,2
,
attendance,1
,
boundaries,1
,
works,1
,
property,4
,
owners,2
,
zoning,1
,
percentage,1
,
notification,1
,
drug,1
,
enforcement,1
,
easement,1
,
noise,4
,
coefficients,2
,
speed,5
,
limit,1
,
lights,1
,
wattage,1
,
averages,1
,
mph,1
,
mitigation,1
,
schiphol,1
,
crew,1
,
scene,1
,
nearness,1
,
hydrants,1
,
insurance,1
,
spread,1
,
plumes,2
,
match,2
,
flood,2
,
level,5
,
soil,2
,
erosion,1
,
tornado,2
,
herd,1
,
animals,1
,
value,1
,
literacy,1
,
month,1
,
connectivity,3
,
mix,1
,
bikeability,1
,
bicycle,4
,
degree,2
,
separation,1
,
destination,1
,
cyclists,1
,
metro,1
,
vancouver,2
,
crop,1
,
yields,1
,
densities,1
,
infrastructure,1
,
increase,1
,
accessibility,10
,
choices,1
,
respect,1
,
extent,8
,
disabilities,2
,
characteristics,9
,
inclusion,1
,
differences,6
,
clustering,3
,
china,2
,
radiance,1
,
dmsp,1
,
ols,1
,
night,2
,
light,2
,
cover,5
,
dynamics,1
,
carbon,6
,
emissions,1
,
sinks,1
,
vegetation,1
,
storage,1
,
emission,2
,
activities,2
,
iraqi,1
,
outpatient,1
,
services,6
,
demand,2
,
factors,12
,
probability,1
,
buses,3
,
potential,3
,
occurrence,1
,
physician,1
,
nurse,1
,
practitioner,1
,
seniors,1
,
fixity,1
,
flexibility,1
,
fear,1
,
sub,1
,
centers,1
,
media,1
,
sensing,1
,
scale,2
,
west,1
,
sichuan,2
,
east,1
,
marina,1
,
shoreline,1
,
parking,3
,
availability,1
,
segments,2
,
sensor,1
,
trams,1
,
trains,1
,
interests,1
,
quality,2
,
directness,1
,
topology,2
,
risk,5
,
cyclist,1
,
collision,1
,
waterloo,1
,
canada,3
,
environment,6
,
children,2
,
delmenhorst,1
,
heat,1
,
hotspots,4
,
scales,3
,
british,1
,
columbia,1
,
supply,1
,
balance,1
,
walking,2
,
rurality,2
,
space,2
,
rail,2
,
climate,1
,
women,1
,
tourism,5
,
policies,1
,
cooperation,1
,
irrigation,1
,
indices,1
,
raster,1
,
cells,1
,
socio,2
,
transportation,1
,
modes,1
,
mobility,1
,
mortality,4
,
patterning,1
